Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for bsd-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 16:22:20 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(373544k free)

/proc/meminfo:

CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/Users/colonelhou/Documents/company/wksp/MacOS-JAVA/src/main/java/com/java/jvm/hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:MaxNewSize=2097152 -XX:NewSize=2097152 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.139: [GC (Allocation Failure) [PSYoungGen: 1024K->506K(1536K)] 1024K->530K(9728K), 0.0012948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.208: [GC (Allocation Failure) [PSYoungGen: 1528K->490K(1536K)] 1552K->844K(9728K), 0.0016177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.230: [GC (Allocation Failure) [PSYoungGen: 1502K->506K(1536K)] 1856K->1102K(9728K), 0.0012876 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.241: [GC (Allocation Failure) [PSYoungGen: 1530K->506K(1536K)] 2126K->1228K(9728K), 0.0008532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.265: [GC (Allocation Failure) [PSYoungGen: 1530K->512K(1536K)] 2252K->1551K(9728K), 0.0011104 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.300: [GC (Allocation Failure) [PSYoungGen: 1535K->512K(1536K)] 2574K->1846K(9728K), 0.0010907 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.301: [GC (Allocation Failure) [PSYoungGen: 1528K->402K(1536K)] 2862K->1961K(9728K), 0.0005120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.302: [GC (Allocation Failure) [PSYoungGen: 1422K->320K(1536K)] 2981K->1974K(9728K), 0.0010068 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.303: [GC (Allocation Failure) [PSYoungGen: 1331K->96K(1536K)] 2985K->1996K(9728K), 0.0009646 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.305: [GC (Allocation Failure) [PSYoungGen: 1109K->128K(1536K)] 3010K->2043K(9728K), 0.0003040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.305: [GC (Allocation Failure) [PSYoungGen: 1137K->136K(1536K)] 3052K->2076K(9728K), 0.0002747 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.306: [GC (Allocation Failure) [PSYoungGen: 1132K->54K(1536K)] 3071K->2009K(9728K), 0.0002604 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.306: [GC (Allocation Failure) [PSYoungGen: 1064K->87K(1536K)] 3020K->2043K(9728K), 0.0004322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.307: [GC (Allocation Failure) [PSYoungGen: 1096K->121K(1536K)] 3051K->2101K(9728K), 0.0003202 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.308: [GC (Allocation Failure) [PSYoungGen: 1112K->96K(1536K)] 3092K->2091K(9728K), 0.0002831 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.308: [GC (Allocation Failure) [PSYoungGen: 1113K->92K(1536K)] 3109K->2103K(9728K), 0.0002588 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.309: [GC (Allocation Failure) [PSYoungGen: 1100K->120K(1536K)] 3111K->2140K(9728K), 0.0003458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.309: [GC (Allocation Failure) [PSYoungGen: 1115K->157K(1536K)] 3134K->2177K(9728K), 0.0008024 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.310: [GC (Allocation Failure) [PSYoungGen: 1128K->160K(1536K)] 3148K->2196K(9728K), 0.0003351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
